datetime,open,high,low,close,volume
2024-12-20,433.10999,443.73999,428.63,436.60001,64263700
2024-12-19,441.62,443.17999,436.32001,437.03,22963700
2024-12-18,451.32001,452.64999,437.01999,437.39001,24444500
2024-12-17,451.01001,455.29001,449.57001,454.45999,22733500
2024-12-16,447.26999,452.17999,445.28,451.59,23598800
2024-12-13,448.44,451.42999,445.57999,447.26999,20177800
2024-12-12,449.10999,456.16,449.10999,449.56,20834800
2024-12-11,444.04999,450.35001,444.04999,448.98999,19200200
2024-12-10,444.39001,449.62,441.60001,443.32999,18469500
2024-12-09,442.60001,448.32999,440.5,446.01999,19144400
2024-12-06,442.29999,446.10001,441.76999,443.57001,18821000
2024-12-05,437.92001,444.66,436.17001,442.62,21697800
2024-12-04,433.03,439.67001,432.63,437.42001,26009400
2024-12-03,429.84,432.47,427.73999,431.20001,18302000
2024-12-02,421.57001,433.0,421.31,430.98001,20207200
2024-11-29,420.09,424.88,417.79999,423.45999,16271900
2024-11-27,425.10999,427.23001,422.01999,422.98999,18332400
2024-11-26,419.59,429.04001,418.85001,427.98999,23458900
2024-11-25,418.38,421.07999,414.85001,418.79001,27691100
2024-11-22,411.37,417.39999,411.06,417.0,24814600
2024-11-21,419.5,419.78,410.29001,412.87,20780200
2024-11-20,416.87,417.29001,410.57999,415.48999,19191700
2024-11-19,413.10999,417.94,411.54999,417.79001,18133500
2024-11-18,414.87,418.39999,412.10001,415.76001,24742000
2024-11-15,419.82001,422.79999,413.64001,415.0,28247600
2024-11-14,425.0,428.17001,420.0,426.89001,30246900
2024-11-13,421.64001,429.32999,418.20999,425.20001,21502200
2024-11-12,418.25,424.44,417.20001,423.03,19401200
2024-11-11,422.51999,424.81,416.0,418.01001,24503300
2024-11-08,425.32001,426.5,421.78,422.54001,16891400
2024-11-07,421.28,426.85001,419.88,425.42999,19901800
2024-11-06,412.42001,420.45001,410.51999,420.17999,26681800
2024-11-05,408.37,414.89999,408.07999,411.45999,17626000
2024-11-04,409.79999,410.42001,405.57001,408.45999,19672300
2024-11-01,409.01001,415.5,407.5,410.37,24230400
2024-10-31,415.35999,416.16,406.29999,406.35001,53971000
2024-10-30,437.44,438.5,432.10001,432.53,29749100
2024-10-29,428.0,433.17001,425.79999,431.95001,17644100
2024-10-28,431.66,431.94,426.29999,426.59,14882400
2024-10-25,426.76001,432.51999,426.57001,428.14999,16899100
2024-10-24,425.32999,425.98001,422.39999,424.73001,13581600
2024-10-23,430.85999,431.07999,422.53,424.60001,19654400
2024-10-22,418.48999,430.57999,418.04001,427.51001,25482200
2024-10-21,416.12,418.95999,413.75,418.78,14206100
2024-10-18,417.14001,419.64999,416.26001,418.16,17145300
2024-10-17,422.35999,422.5,415.59,416.72,14820000
2024-10-16,415.17001,416.35999,410.48001,416.12,15508900
2024-10-15,422.17999,422.48001,415.26001,418.73999,18900200
2024-10-14,417.76999,424.04001,417.51999,419.14001,16653100
2024-10-11,416.14001,417.13,413.25,416.32001,14144900
2024-10-10,415.23001,417.35001,413.14999,415.84,13848400
2024-10-09,415.85999,420.38,414.29999,417.45999,14974300
2024-10-08,410.89999,415.66,408.17001,414.70999,19229300
2024-10-07,416.0,417.10999,409.0,409.54001,20919800
2024-10-04,418.23999,419.75,414.97,416.06,19169700
2024-10-03,417.63,419.54999,414.29001,416.54001,13686400
2024-10-02,422.57999,422.82001,416.70999,417.13,16582300
2024-10-01,428.45001,428.48001,418.81,420.69,19092900
2024-09-30,428.20999,430.42001,425.37,430.29999,16807300
2024-09-27,431.51999,431.85001,427.47,428.01999,14896100
2024-09-26,435.09,435.29999,429.13,431.31,14492000
2024-09-25,429.82999,433.12,428.57001,432.10999,13396400
2024-09-24,433.0,433.35001,426.10001,429.17001,17015800
2024-09-23,434.28,436.45999,430.39001,433.51001,15128900
2024-09-20,437.22,439.23999,434.22,435.26999,55167100
2024-09-19,441.23001,441.5,436.89999,438.69,21706600
2024-09-18,435.0,436.03,430.41,430.81,18898000
2024-09-17,440.23001,441.85001,432.26999,435.14999,18874200
2024-09-16,430.60001,433.53,428.22,431.34,13834700
2024-09-13,425.82999,431.82999,425.45999,430.59,15874600
2024-09-12,423.31,427.37,419.75,427.0,17418800
2024-09-11,415.5,423.98999,409.57999,423.04001,19266900
2024-09-10,408.20001,416.32999,407.70001,414.20001,19594300
2024-09-09,407.23999,408.64999,402.14999,405.72,15295100
2024-09-06,409.06,410.64999,400.79999,401.70001,19609500
2024-09-05,407.62,413.10001,406.13,408.39001,14195500
2024-09-04,405.91,411.23999,404.37,408.89999,15135800
2024-09-03,417.91,419.88,407.03,409.44,20313600
2024-08-30,415.60001,417.48999,412.13,417.14001,24308300
2024-08-29,414.94,422.04999,410.60001,413.12,17045200
2024-08-28,414.88,415.0,407.31,410.60001,14882700
2024-08-27,412.85999,414.35999,410.25,413.84,13492900
2024-08-26,416.37,417.28,411.34,413.48999,13152800
2024-08-23,416.98001,419.26001,412.09,416.79001,18493800
2024-08-22,424.35999,426.79001,414.60999,415.54999,19361900
2024-08-21,424.07999,426.39999,421.72,424.14001,16067300
2024-08-20,421.70001,425.85999,421.64001,424.79999,16387600
2024-08-19,418.95999,421.75,416.45999,421.53,15234000
2024-08-16,420.60001,421.34,417.29999,418.47,22775600
2024-08-15,419.79999,421.10999,417.66,421.03,20752100
2024-08-14,414.79999,417.72,412.45001,416.85999,18267000
2024-08-13,409.59,414.95001,409.57001,414.01001,19414300
2024-08-12,407.06,408.76001,404.23999,406.81,16762900
2024-08-09,404.03,408.04999,402.26001,406.01999,19276700
2024-08-08,402.44,405.85999,399.94,402.69,20203000
2024-08-07,408.64001,410.07999,397.47,398.42999,20650900
2024-08-06,400.0,405.67001,398.5,399.60999,24946500
2024-08-05,389.17001,401.04001,385.57999,395.14999,40709200
2024-08-02,412.48999,415.0,404.34,408.48999,29437900
2024-08-01,420.79001,427.45999,413.09,417.10999,30296400
2024-07-31,420.5,421.78,412.20999,418.35001,42891400
2024-07-30,427.72,429.04999,417.35999,422.92001,32687600
2024-07-29,431.57999,432.14999,424.70001,426.73001,15125800
2024-07-26,418.20001,428.92001,417.26999,425.26999,23583800
2024-07-25,428.79999,429.79999,417.51001,418.39999,29943800
2024-07-24,440.45001,441.48001,427.59,428.89999,26805800
2024-07-23,443.89999,448.39001,443.10001,444.85001,13107100
2024-07-22,441.79001,444.60001,438.91,442.94,15808800
2024-07-19,433.10001,441.14001,432.0,437.10999,20940400
2024-07-18,444.34,444.64999,434.39999,440.37,20794800
2024-07-17,442.59,444.85001,439.17999,443.51999,21778000
2024-07-16,454.22,454.29999,446.66,449.51999,17175700
2024-07-15,453.29999,457.26001,451.42999,453.95999,14429400
2024-07-12,454.32999,456.35999,450.64999,453.54999,16324300
2024-07-11,462.98001,464.78,451.54999,454.70001,23111200
2024-07-10,461.22,466.45999,458.85999,466.25,18196100
2024-07-09,467.0,467.32999,458.0,459.54001,17207200
2024-07-08,466.54999,467.70001,464.45999,466.23999,12962300
2024-07-05,459.60999,468.35001,458.97,467.56,16000300
2024-07-03,458.19,461.01999,457.88,460.76999,9932800
2024-07-02,453.20001,459.59,453.10999,459.28,13979800
2024-07-01,448.66,457.37,445.66,456.73001,17662800
2024-06-28,453.07001,455.38,446.41,446.95001,28362300
2024-06-27,452.17999,456.17001,451.76999,452.85001,14806300
2024-06-26,449.0,453.60001,448.19,452.16,16507000
2024-06-25,448.25,451.42001,446.75,450.95001,16747500
2024-06-24,449.79999,452.75,446.41,447.67001,15913700
2024-06-21,447.38,450.57999,446.51001,449.78,34486200
2024-06-20,446.29999,446.53,441.26999,445.70001,19877400
2024-06-18,449.70999,450.14001,444.89001,446.34,17112500
2024-06-17,442.59,450.94,440.72,448.37,20790000
2024-06-14,438.28,443.14001,436.72,442.57001,13582000
2024-06-13,440.85001,443.39001,439.37,441.57999,15960600
2024-06-12,435.32001,443.39999,433.25,441.06,22366200
2024-06-11,425.48001,432.82001,425.25,432.67999,14551100
2024-06-10,424.70001,428.07999,423.89001,427.87,14003000
2024-06-07,426.20001,426.28,423.0,423.85001,13621700
2024-06-06,424.01001,425.31,420.57999,424.51999,14861300
2024-06-05,417.81,424.07999,416.29999,424.01001,16988000
2024-06-04,412.42999,416.44,409.67999,416.07001,14348900
2024-06-03,415.53,416.42999,408.92001,413.51999,17484700
2024-05-31,416.75,416.75,404.51001,415.13,47995300
2024-05-30,424.29999,424.29999,414.23999,414.67001,28424800
2024-05-29,425.69,430.94,425.69,429.17001,15517100
2024-05-28,429.63,430.82001,426.60001,430.32001,15718000
2024-05-24,427.19,431.06,424.41,430.16,11845800
2024-05-23,432.97,433.60001,425.42001,427.0,17211700
2024-05-22,430.09,432.41,427.13,430.51999,18073700
2024-05-21,426.82999,432.97,424.85001,429.04001,21453300
2024-05-20,420.20999,426.76999,419.98999,425.34,16272100
2024-05-17,422.54001,422.92001,418.03,420.20999,15352200
2024-05-16,421.79999,425.42001,420.35001,420.98999,17530100
2024-05-15,417.89999,423.81,417.26999,423.07999,22239500
2024-05-14,412.01999,417.48999,411.54999,416.56,15109300
2024-05-13,418.01001,418.35001,410.82001,413.72,15440200
2024-05-10,412.94,415.38,411.79999,414.73999,13402300
2024-05-09,410.57001,412.72,409.10001,412.32001,14689700
2024-05-08,408.17001,412.23001,406.70999,410.54001,11792300
2024-05-07,414.66,414.67001,409.09,409.34,20018200
2024-05-06,408.76001,413.92999,406.37,413.54001,16996600
2024-05-03,402.28,407.14999,401.85999,406.66,17446700
2024-05-02,397.66,399.92999,394.64999,397.84,17709400
2024-05-01,392.60999,401.72,390.31,394.94,23562500
2024-04-30,401.48999,402.16,389.17001,389.32999,28781400
2024-04-29,405.25,406.32001,399.19,402.25,19582100
2024-04-26,412.17001,413.0,405.76001,406.32001,29694700
2024-04-25,394.03,399.89001,388.03,399.04001,40586500
2024-04-24,409.56,412.47,406.78,409.06,15065300
2024-04-23,404.23999,408.20001,403.06,407.57001,15734500
2024-04-22,400.07999,402.85001,395.75,400.95999,20286900
2024-04-19,404.03,405.48001,397.76999,399.12,30276500
2024-04-18,410.63,411.89001,403.95001,404.26999,21029900
2024-04-17,417.25,418.88,410.32999,411.84,15855500
2024-04-16,414.57001,418.39999,413.73001,414.57999,16765600
2024-04-15,426.60001,426.82001,413.42999,413.64001,20273500
2024-04-12,424.04999,425.17999,419.76999,421.89999,19232100
2024-04-11,425.82001,429.37,422.35999,427.92999,17966400
2024-04-10,422.19,424.03,419.70001,423.26001,16216600
2024-04-09,426.44,427.73999,421.62,426.28,12512300
2024-04-08,425.17001,427.28,423.29999,424.59,14272400
2024-04-05,420.01001,426.51001,418.32001,425.51999,16544300
2024-04-04,424.98999,428.67001,417.57001,417.88,19370900
2024-04-03,419.73001,423.26001,419.09,420.45001,16502300
2024-04-02,420.10999,422.38,417.84,421.44,17912000
