datetime,open,high,low,close,volume
2024-11-11,6.93,7.0,6.875,6.975,9100
2024-11-08,6.94,7.095,6.88,6.96,12000
2024-11-07,6.64,6.905,6.64,6.84,17400
2024-11-06,6.7,6.714,6.57,6.68,18300
2024-11-05,6.73,6.76,6.57,6.6,33500
2024-11-04,6.8,6.85,6.57,6.6,32100
2024-11-01,6.78,6.86,6.6,6.83,32600
2024-10-31,6.98,7.03,6.74,6.76,84200
2024-10-30,6.98,7.13,6.98,7.08,9900
2024-10-29,7.05,7.12,6.94,7.06,16900
2024-10-28,6.92,7.03,6.91,6.96,15600
2024-10-25,7.05,7.1,6.92,6.95,9800
2024-10-24,7.08,7.13,6.94,7.03,6200
2024-10-23,6.9,7.12,6.9,7.03,8500
2024-10-22,6.95,7.0,6.9,6.95,8200
2024-10-21,7.14,7.24,7.04,7.05,13400
2024-10-18,7.18,7.25,7.15,7.22,6000
2024-10-17,6.86,7.298,6.85,7.09,24400
2024-10-16,7.17,7.22,6.86,6.87,25700
2024-10-15,7.04,7.09,6.9,7.09,15100
2024-10-14,7.0,7.233,6.89,6.94,32200
2024-10-11,6.86,7.09,6.86,6.92,8000
2024-10-10,7.13,7.17,6.85,6.93,23500
2024-10-09,6.65,7.11,6.64,7.05,24100
2024-10-08,6.9,6.95,6.6,6.63,27800
2024-10-07,7.23,7.23,6.92,6.92,11600
2024-10-04,7.12,7.33,6.88,7.15,52700
2024-10-03,7.03,7.105,6.92,7.05,23700
2024-10-02,6.98,7.16,6.98,7.03,18600
2024-10-01,6.95,7.1,6.85,7.06,20700
2024-09-30,7.17,7.265,6.91,6.91,43300
2024-09-27,7.34,7.365,7.1,7.18,28900
2024-09-26,7.42,7.59,7.35,7.35,14700
2024-09-25,7.54,7.55,7.43,7.47,6500
2024-09-24,7.41,7.58,7.33,7.55,40000
2024-09-23,7.44,7.58,7.37,7.37,47300
2024-09-20,7.34,7.53,7.34,7.44,24400
2024-09-19,7.6,7.6,7.4,7.46,25700
2024-09-18,7.16,7.5,7.16,7.45,30500
2024-09-17,7.32,7.46,7.16,7.2,31000
2024-09-16,7.26,7.31,7.08,7.27,28200
2024-09-13,7.67,7.78,7.25,7.3,51400
2024-09-12,7.07,7.78,7.06,7.7,57600
2024-09-11,6.78,7.16,6.78,7.02,274400
2024-09-10,6.72,6.86,6.68,6.78,156500
2024-09-09,6.74,6.944,6.68,6.69,82600
2024-09-06,6.79,6.845,6.735,6.78,106800
2024-09-05,6.88,7.065,6.77,6.8,61900
2024-09-04,7.05,7.05,6.8,6.91,144800
2024-09-03,6.5,6.88,6.5,6.84,218600
2024-08-30,6.84,6.84,6.58,6.58,36500
2024-08-29,6.9,6.9,6.67,6.76,192900
2024-08-28,7.3,7.36,6.8,6.8,128300
2024-08-27,7.44,7.69,7.22,7.37,25900
2024-08-26,7.82,7.85,7.42,7.45,32000
2024-08-23,7.6,7.75,7.405,7.75,51000
2024-08-22,7.41,7.57,7.22,7.51,374800
2024-08-21,7.67,7.709,7.5,7.55,104200
2024-08-20,7.58,7.84,7.535,7.57,164500
2024-08-19,7.75,7.867,7.535,7.59,76600
2024-08-16,7.75,7.85,7.75,7.8,75400
2024-08-15,7.6,7.86,7.51,7.83,40400
2024-08-14,7.43,7.55,7.39,7.52,24400
2024-08-13,7.49,7.5,7.42,7.48,14100
2024-08-12,7.38,7.5,7.38,7.43,104200
2024-08-09,7.5,7.61,7.38,7.45,94500
2024-08-08,7.6,7.74,7.48,7.52,160400
2024-08-07,7.71,7.85,7.47,7.58,252700
2024-08-06,7.69,7.88,7.55,7.57,91100
2024-08-05,7.88,7.95,7.58,7.71,134600
2024-08-02,8.63,8.67,8.09,8.09,94500
2024-08-01,8.75,8.82,8.62,8.7,65700
2024-07-31,9.08,9.125,8.79,8.8,138900
2024-07-30,8.95,9.14,8.87,8.99,90600
2024-07-29,9.06,9.155,8.9,8.99,77600
2024-07-26,8.96,9.08,8.72,8.99,130900
2024-07-25,8.81,9.04,8.49,9.0,110300
2024-07-24,8.68,8.86,8.65,8.83,54600
2024-07-23,8.69,8.74,8.49,8.63,25500
2024-07-22,8.92,9.045,8.65,8.67,71000
2024-07-19,9.03,9.23,8.83,8.89,43400
2024-07-18,8.87,9.38,8.82,9.09,118700
2024-07-17,8.38,9.08,8.38,8.93,160500
2024-07-16,8.19,8.57,8.08,8.49,159300
2024-07-15,7.8,8.27,7.735,8.19,162700
2024-07-12,7.86,8.0,7.8,7.81,60500
2024-07-11,7.71,7.96,7.605,7.93,108000
2024-07-10,7.82,7.89,7.64,7.8,198500
2024-07-09,7.86,7.96,7.72,7.89,227500
2024-07-08,8.04,8.04,7.84,7.95,105600
2024-07-05,7.84,8.08,7.8,8.0,268200
2024-07-03,8.0,8.09,7.95,8.0,56300
2024-07-02,7.9,8.04,7.805,8.04,115600
2024-07-01,7.96,8.08,7.79,7.92,49700
2024-06-28,8.11,8.145,7.79,8.0,158600
2024-06-27,8.05,8.07,7.88,8.03,131800
2024-06-26,8.05,8.075,7.86,8.03,184400
2024-06-25,7.79,8.113,7.52,8.1,375400
2024-06-24,8.0,8.2,7.69,7.69,139900
2024-06-21,7.96,8.12,7.72,8.1,95200
2024-06-20,7.99,8.21,7.95,8.04,99200
2024-06-18,8.05,8.16,7.924,8.01,91400
2024-06-17,8.13,8.344,7.95,8.11,113800
2024-06-14,7.72,8.12,7.55,8.12,102300
2024-06-13,7.69,7.83,7.56,7.73,223900
2024-06-12,7.8,8.04,7.36,7.73,187600
2024-06-11,7.81,7.97,7.57,7.73,158900
2024-06-10,7.91,7.965,7.7,7.83,241800
2024-06-07,7.97,8.21,7.87,8.03,105100
2024-06-06,8.16,8.259,7.85,8.05,169500
2024-06-05,8.38,8.58,8.16,8.2,163600
2024-06-04,8.57,8.61,8.28,8.37,151600
2024-06-03,8.85,8.98,8.65,8.67,88000
2024-05-31,8.69,9.0,8.69,8.8,65300
2024-05-30,8.23,8.913,8.15,8.73,149400
2024-05-29,8.01,8.39,8.01,8.32,60400
2024-05-28,8.27,8.4,8.07,8.31,244400
2024-05-24,8.25,8.54,7.7,8.21,310100
2024-05-23,8.6,8.84,7.761,8.21,610700
2024-05-22,8.82,9.15,8.727,8.87,191800
2024-05-21,8.49,9.0,8.365,8.81,344200
2024-05-20,8.74,8.93,8.34,8.43,193900
2024-05-17,8.5,8.8,8.42,8.72,253800
2024-05-16,8.7,8.77,8.5,8.55,256200
2024-05-15,8.77,8.799,8.49,8.77,141900
2024-05-14,9.2,9.2,8.5,8.64,197800
2024-05-13,9.79,9.89,8.53,8.86,490900
2024-05-10,9.0,9.85,8.82,9.48,945400
2024-05-09,8.07,8.75,7.82,8.5,946400
2024-05-08,7.2,7.42,6.98,7.41,630900
2024-05-07,6.67,7.08,6.66,6.67,69500
2024-05-06,6.57,6.83,6.44,6.72,162800
2024-05-03,6.75,6.78,6.49,6.49,90500
2024-05-02,7.0,7.0,6.75,6.76,23000
2024-05-01,6.82,7.23,6.8,7.0,106400
2024-04-30,6.73,6.95,6.69,6.8,70400
2024-04-29,7.05,7.15,6.89,6.93,123000
2024-04-26,7.15,7.32,7.02,7.06,234400
2024-04-25,7.47,7.56,7.16,7.19,226000
2024-04-24,6.9,7.55,6.85,7.55,407300
2024-04-23,6.45,6.88,6.42,6.85,387600
2024-04-22,6.72,6.806,6.17,6.3,514900
2024-04-19,7.33,7.78,6.8,6.8,967300
2024-04-18,7.36,7.69,7.26,7.43,343300
2024-04-17,7.7,7.738,7.44,7.5,321600
2024-04-16,8.0,8.15,7.49,7.6,639500
2024-04-15,7.54,7.63,7.46,7.51,653200
2024-04-12,7.7,8.19,7.58,7.7,737200
2024-04-11,7.67,7.88,7.47,7.8,566900
2024-04-10,7.14,7.8,7.13,7.75,488200
2024-04-09,8.0,8.13,7.19,7.25,1018500
2024-04-08,9.05,9.17,7.85,8.0,1163000
2024-04-05,9.26,9.63,9.099,9.1,704600
2024-04-04,9.19,9.52,9.18,9.4,1026500
2024-04-03,9.92,9.97,9.07,9.24,1142100
2024-04-02,10.56,10.56,9.79,9.88,633500
