datetime,open,high,low,close,volume
2024-12-26,6.93,7.35,6.86,7.22,728400
2024-12-24,7.13,7.22,6.88,7.05,535700
2024-12-23,6.9,7.22,6.89,7.14,1120800
2024-12-20,6.44,7.14,6.41,6.93,2630700
2024-12-19,6.81,6.83,6.15,6.51,1643500
2024-12-18,7.67,7.89,6.89,7.03,1788500
2024-12-17,7.62,7.946,7.52,7.67,2398800
2024-12-16,7.53,7.93,7.36,7.68,1469100
2024-12-13,7.87,8.24,7.5,7.56,1980100
2024-12-12,8.48,8.58,7.66,7.79,1983200
2024-12-11,9.34,9.839,8.5,8.51,1478100
2024-12-10,10.0,10.69,9.4,9.44,3381700
2024-12-09,9.57,10.21,9.4,10.2,2758600
2024-12-06,8.92,9.88,8.92,9.41,3946000
2024-12-05,9.16,9.598,8.8,8.83,618000
2024-12-04,9.98,10.17,8.82,9.24,1149100
2024-12-03,10.23,10.56,9.79,9.86,4710300
2024-12-02,10.3,10.698,10.11,10.22,902000
2024-11-29,9.23,10.44,9.23,10.36,888500
2024-11-27,8.73,9.25,8.61,9.11,630300
2024-11-26,8.39,8.99,8.036,8.6,911200
2024-11-25,8.63,9.03,8.38,8.46,803500
2024-11-22,8.36,8.67,8.24,8.49,370000
2024-11-21,8.35,8.9,8.17,8.35,743600
2024-11-20,8.24,8.62,8.05,8.36,736500
2024-11-19,7.47,8.438,7.4,8.31,1251400
2024-11-18,7.9,8.05,7.47,7.54,1402700
2024-11-15,8.57,8.63,7.64,7.74,881300
2024-11-14,8.72,8.915,8.38,8.48,739700
2024-11-13,9.36,9.6,8.62,8.63,670600
2024-11-12,9.93,10.22,9.0,9.13,1376000
2024-11-11,9.5,10.4,9.32,10.01,1726700
2024-11-08,9.82,9.85,9.0,9.26,793900
2024-11-07,9.5,9.85,9.32,9.53,1131200
2024-11-06,9.68,9.7,8.9,9.45,945600
2024-11-05,8.85,9.37,8.42,9.36,688500
2024-11-04,8.91,9.12,8.485,8.84,4573100
2024-11-01,8.35,8.94,8.31,8.9,745800
2024-10-31,9.24,9.54,8.5,8.5,1288300
2024-10-30,9.47,9.68,8.91,9.22,1850400
2024-10-29,9.34,9.52,8.35,9.37,5850300
2024-10-28,6.39,12.4,6.15,9.48,95126200
2024-10-25,4.93,5.11,4.85,4.89,89900
2024-10-24,4.86,5.04,4.83,4.87,81600
2024-10-23,5.26,5.325,4.76,4.87,166900
2024-10-22,5.37,5.4,5.17,5.31,119400
2024-10-21,5.51,5.52,5.305,5.45,87300
2024-10-18,5.51,5.53,5.29,5.52,120400
2024-10-17,5.47,5.69,5.34,5.49,122800
2024-10-16,5.17,5.595,5.1,5.5,383800
2024-10-15,4.91,5.16,4.84,5.12,201200
2024-10-14,4.91,5.01,4.8,4.92,193500
2024-10-11,4.81,4.99,4.76,4.93,274300
2024-10-10,4.7,4.899,4.67,4.84,210100
2024-10-09,4.99,4.99,4.595,4.8,229600
2024-10-08,5.08,5.19,4.95,5.0,5935100
2024-10-07,5.09,5.19,5.0,5.07,149800
2024-10-04,5.24,5.31,4.97,5.09,196000
2024-10-03,5.39,5.55,5.035,5.11,165700
2024-10-02,5.25,5.45,5.182,5.39,380900
2024-10-01,5.21,5.33,4.94,5.3,234200
2024-09-30,5.05,5.48,4.92,5.3,229100
2024-09-27,5.43,5.55,5.14,5.17,191800
2024-09-26,5.67,5.7,5.29,5.36,151600
2024-09-25,5.72,5.97,5.47,5.51,232500
2024-09-24,6.01,6.1,5.65,5.69,322700
2024-09-23,6.58,6.635,5.93,5.95,920900
2024-09-20,6.17,6.84,6.01,6.48,2779600
2024-09-19,6.21,6.3,5.81,6.25,214300
2024-09-18,5.92,6.13,5.765,5.95,141500
2024-09-17,5.68,6.05,5.45,5.92,201000
2024-09-16,6.09,6.16,5.45,5.62,218600
2024-09-13,6.07,6.26,5.64,6.08,208300
2024-09-12,6.22,6.3,5.852,5.96,125900
2024-09-11,6.31,6.68,5.97,6.22,738700
2024-09-10,5.92,6.385,5.8,6.36,245800
2024-09-09,5.73,6.07,5.695,5.93,136800
2024-09-06,6.0,6.04,5.51,5.69,116600
2024-09-05,5.67,6.1,5.57,6.01,160300
2024-09-04,5.77,5.815,5.44,5.63,213400
2024-09-03,6.05,6.25,5.748,5.82,162100
2024-08-30,6.4,6.52,5.88,6.17,222900
2024-08-29,6.42,6.95,6.22,6.39,243300
2024-08-28,6.74,7.03,6.08,6.33,187400
2024-08-27,6.95,7.05,6.66,6.77,288000
2024-08-26,6.42,7.0,6.17,6.97,359500
2024-08-23,5.74,6.36,5.62,6.33,283300
2024-08-22,6.51,6.545,5.25,5.63,406100
2024-08-21,5.82,6.81,5.716,6.53,340500
2024-08-20,4.82,5.89,4.81,5.84,293800
2024-08-19,4.69,4.97,4.6,4.84,160500
2024-08-16,4.87,4.88,4.57,4.68,91800
2024-08-15,4.67,4.94,4.44,4.9,105200
2024-08-14,4.81,4.86,4.45,4.5,131500
2024-08-13,4.03,4.83,4.02,4.82,270800
2024-08-12,3.98,4.08,3.741,3.98,120300
2024-08-09,4.01,4.18,3.85,3.94,101300
2024-08-08,3.84,3.99,3.52,3.98,171900
2024-08-07,4.01,4.11,3.54,3.61,278700
2024-08-06,3.78,3.965,3.6,3.9,117100
2024-08-05,3.72,3.84,3.53,3.74,280700
2024-08-02,4.12,4.31,3.97,4.01,208100
2024-08-01,4.47,4.53,4.27,4.37,212100
2024-07-31,4.52,4.7,4.29,4.52,138300
2024-07-30,4.57,4.63,4.34,4.48,154700
2024-07-29,4.68,4.84,4.51,4.57,136700
2024-07-26,4.77,4.92,4.55,4.67,204200
2024-07-25,4.43,4.85,4.43,4.67,211000
2024-07-24,4.49,4.7,4.33,4.4,160200
2024-07-23,4.34,4.6,3.982,4.56,142800
2024-07-22,4.26,4.47,4.04,4.38,231100
2024-07-19,4.4,4.45,4.24,4.26,64600
2024-07-18,4.71,4.88,4.29,4.39,252800
2024-07-17,4.93,5.0,4.42,4.74,292500
2024-07-16,4.27,5.0,4.245,4.87,423700
2024-07-15,4.4,4.53,3.92,4.19,353600
2024-07-12,4.17,4.45,4.09,4.32,249800
2024-07-11,4.06,4.29,3.95,4.06,262500
2024-07-10,3.97,4.172,3.73,3.9,162600
2024-07-09,3.88,3.98,3.75,3.96,113900
2024-07-08,3.73,4.36,3.7,3.89,251400
2024-07-05,3.83,3.9,3.61,3.64,335000
2024-07-03,3.59,3.91,3.57,3.89,158800
2024-07-02,3.96,4.15,3.54,3.59,290800
2024-07-01,3.75,4.19,3.75,3.94,402700
2024-06-28,3.32,3.74,3.21,3.74,579400
2024-06-27,3.69,3.71,3.32,3.38,220800
2024-06-26,3.78,3.81,3.6,3.69,204400
2024-06-25,3.85,3.88,3.63,3.79,200200
2024-06-24,3.66,3.86,3.6,3.81,187100
2024-06-21,3.59,3.72,3.43,3.63,922000
2024-06-20,3.52,3.641,3.49,3.56,198200
2024-06-18,3.67,3.85,3.51,3.54,200400
2024-06-17,3.76,3.91,3.5,3.67,228200
2024-06-14,3.99,4.11,3.71,3.83,283400
2024-06-13,4.15,4.24,3.98,4.01,168300
2024-06-12,4.45,4.49,4.09,4.16,120500
2024-06-11,3.97,4.42,3.97,4.28,147900
2024-06-10,3.94,4.171,3.91,4.02,158800
2024-06-07,4.12,4.12,3.9,3.98,215700
2024-06-06,4.16,4.26,3.92,4.19,111500
2024-06-05,4.04,4.219,4.0,4.09,94600
2024-06-04,3.95,4.068,3.89,4.0,221600
2024-06-03,4.04,4.37,3.9,3.98,868800
2024-05-31,4.16,4.2,3.9,4.12,143600
2024-05-30,4.05,4.29,4.0,4.12,95300
2024-05-29,4.09,4.215,3.96,4.0,113400
2024-05-28,4.25,4.335,3.92,4.18,299100
2024-05-24,4.02,4.25,3.92,4.16,130200
2024-05-23,4.17,4.33,3.95,3.99,190500
2024-05-22,4.47,4.55,4.2,4.21,174600
2024-05-21,4.92,5.0,3.95,4.295,515400
2024-05-20,5.18,5.3,4.93,4.95,271700
2024-05-17,5.3,5.47,5.15,5.2,153300
2024-05-16,5.25,5.7,4.8,5.22,1290100
2024-05-15,5.16,5.45,5.085,5.23,129500
2024-05-14,5.07,5.28,4.945,5.0,80700
2024-05-13,4.92,5.16,4.91,4.95,260200
2024-05-10,5.22,5.24,4.63,4.85,150300
2024-05-09,5.24,5.3,5.09,5.18,241200
2024-05-08,5.61,5.69,5.17,5.26,137500
2024-05-07,6.02,6.02,5.66,5.68,189900
2024-05-06,5.72,5.91,5.565,5.76,54000
2024-05-03,5.82,5.85,5.645,5.65,80600
2024-05-02,5.93,5.93,5.35,5.6,176100
2024-05-01,5.38,6.0,5.3,5.94,156400
2024-04-30,5.57,5.57,5.242,5.32,92500
2024-04-29,5.38,5.905,5.335,5.61,89300
2024-04-26,5.369,5.5,5.29,5.33,87600
2024-04-25,5.35,5.52,5.11,5.45,134400
2024-04-24,5.5,5.76,5.41,5.47,82900
2024-04-23,5.57,6.045,5.5,5.54,76400
2024-04-22,5.86,5.88,5.49,5.5,118900
2024-04-19,5.83,6.03,5.543,5.85,112700
2024-04-18,5.75,6.08,5.69,5.92,185400
2024-04-17,6.12,6.12,5.73,5.8,106800
2024-04-16,6.42,6.45,5.84,6.06,125500
2024-04-15,7.18,7.18,6.51,6.57,121800
2024-04-12,7.12,7.27,6.87,7.21,109500
2024-04-11,7.26,7.444,6.89,7.17,98800
2024-04-10,7.54,7.84,7.04,7.17,127000
2024-04-09,7.55,8.22,7.324,7.86,174000
2024-04-08,7.2,7.78,6.95,7.51,139200
2024-04-05,6.97,7.41,6.81,7.07,79300
2024-04-04,7.08,7.38,6.85,7.03,221700
2024-04-03,6.73,7.01,6.695,6.93,133200
2024-04-02,6.9,7.0,6.63,6.8,139200
