datetime,open,high,low,close,volume
2024-08-05,7.69,7.69,6.4,7.32,29500
2024-08-02,6.0,6.9,5.6,6.84,21400
2024-08-01,6.37,6.37,5.6,5.73,15200
2024-07-31,6.04,6.94,6.04,6.6,11400
2024-07-30,6.55,7.229,5.73,6.08,20700
2024-07-29,7.69,7.95,7.31,7.32,7600
2024-07-26,7.6,8.48,7.38,7.65,29400
2024-07-25,7.19,7.99,7.19,7.99,27800
2024-07-24,7.01,8.27,6.09,7.01,114600
2024-07-23,8.2,8.53,7.2,7.21,45000
2024-07-22,8.29,8.84,8.22,8.39,19500
2024-07-19,8.62,8.78,8.11,8.42,19600
2024-07-18,8.42,9.179,8.42,8.51,29900
2024-07-17,9.1,9.5,8.51,8.51,17500
2024-07-16,8.91,9.71,8.5,9.08,36600
2024-07-15,9.93,10.3,9.11,9.11,21300
2024-07-12,8.56,10.34,8.3,10.15,49900
2024-07-11,7.81,9.14,7.6,8.62,39900
2024-07-10,9.71,10.204,8.13,8.38,89700
2024-07-09,8.31,10.89,8.03,9.865,86300
2024-07-08,7.36,8.379,7.36,8.31,76600
2024-07-05,7.35,7.8,7.32,7.62,13200
2024-07-03,7.47,7.97,7.01,7.5,17700
2024-07-02,7.02,7.28,6.897,7.01,28600
2024-07-01,6.93,7.29,6.8,7.0,20600
2024-06-28,8.9,8.92,7.14,7.27,36700
2024-06-27,9.61,10.03,8.26,8.9,58100
2024-06-26,12.0,12.1,9.32,9.61,190000
2024-06-25,10.04,13.4,10.01,12.62,142800
2024-06-24,11.99,11.99,9.91,10.32,78200
2024-06-21,8.72,11.52,8.61,11.52,85300
2024-06-20,9.95,9.95,8.605,8.72,61200
2024-06-18,10.34,10.535,10.13,10.13,33100
2024-06-17,10.13,10.865,10.0,10.56,51800
2024-06-14,10.18,11.17,10.05,10.9,27800
2024-06-13,10.5,10.85,9.88,10.16,22800
2024-06-12,10.0,11.52,9.35,10.11,156000
2024-06-11,10.09,16.47,9.932,11.62,1342200
2024-06-10,7.655,10.025,7.64,9.48,101800
2024-06-07,7.33,7.69,7.27,7.38,12300
2024-06-06,7.28,7.934,7.27,7.7,4200
2024-06-05,7.62,7.91,6.86,7.16,18200
2024-06-04,7.57,8.0,7.29,7.84,34900
2024-06-03,6.97,7.435,6.97,7.1,24600
2024-05-31,7.98,8.25,6.73,6.88,79900
2024-05-30,7.2,7.88,6.5,7.73,61700
2024-05-29,6.18,8.0,6.0,6.66,218200
2024-05-28,5.61,6.5,5.6,6.18,87000
2024-05-24,5.58,5.684,5.0,5.6,93200
2024-05-23,4.77,6.39,4.55,5.49,158300
2024-05-22,5.0,5.1,4.35,5.0,52500
2024-05-21,4.5,5.1,3.92,5.0,135700
2024-05-20,5.31,5.35,4.99,5.01,10800
2024-05-17,5.28,5.35,4.77,5.35,6000
2024-05-16,5.072,5.3,4.959,5.3,5800
2024-05-15,5.24,5.29,5.0,5.11,3800
2024-05-14,5.31,5.31,4.8,4.8,6800
2024-05-13,5.3,5.3,5.0,5.12,5700
2024-05-10,4.95,5.25,4.9,5.177,8000
2024-05-09,5.21,5.23,4.91,5.0,3600
2024-05-08,4.99,5.25,4.8,5.25,12400
2024-05-07,5.0,5.3,4.83,4.88,16600
2024-05-06,4.61,5.01,4.57,4.85,46400
2024-05-03,4.43,4.73,4.4,4.62,4100
2024-05-02,4.63,4.633,4.51,4.51,3000
2024-05-01,4.44,4.631,4.44,4.61,2000
2024-04-30,4.55,4.62,4.36,4.515,13800
2024-04-29,4.61,4.72,4.6,4.61,1700
2024-04-26,4.715,4.715,4.5,4.6,3300
2024-04-25,4.6,4.79,4.523,4.78,2000
2024-04-24,4.23,4.92,4.23,4.69,9500
2024-04-23,4.63,4.63,4.55,4.63,900
2024-04-22,4.58,5.0,4.506,4.96,24800
2024-04-19,4.16,4.65,4.16,4.59,14800
2024-04-18,4.72,4.9,4.26,4.52,75000
2024-04-17,4.88,4.9,4.501,4.9,16800
2024-04-16,4.89,5.0,4.7,4.72,246700
2024-04-15,4.645,5.1,4.5,4.9,244100
2024-04-12,4.49,4.75,4.2,4.65,55800
2024-04-11,4.97,5.02,4.3,4.511,80900
2024-04-10,5.09,5.1,4.96,5.0,58700
2024-04-09,5.04,5.2,4.96,5.06,89100
2024-04-08,5.0,5.1,4.95,5.0,173300
2024-04-05,5.05,5.2,4.9,4.981,98600
2024-04-04,4.8,5.35,4.8,4.97,660900
2024-04-03,5.0,5.0,4.81,4.94,467100
2024-04-02,4.67,4.99,4.61,4.94,856900
