datetime,open,high,low,close,volume
2024-11-19,25.89,27.6,25.71,27.57,8698600
2024-11-18,26.65,27.16,25.85,26.44,8541600
2024-11-15,28.08,28.59,26.32,26.59,16451800
2024-11-14,27.17,28.28,26.72,27.37,16502000
2024-11-13,26.26,28.22,26.22,26.46,18490300
2024-11-12,26.06,27.1,24.95,26.84,18972700
2024-11-11,25.26,28.05,24.63,27.26,26633000
2024-11-08,23.44,25.39,23.24,24.88,15908600
2024-11-07,23.07,23.66,22.81,23.45,5554400
2024-11-06,23.31,23.82,22.9,23.1,6648000
2024-11-05,22.32,23.2,22.27,22.99,5858400
2024-11-04,22.2,22.65,21.88,22.33,4300200
2024-11-01,22.4,23.05,22.08,22.41,4744500
2024-10-31,22.83,23.03,22.05,22.18,5594500
2024-10-30,23.4,24.54,22.75,23.28,12383600
2024-10-29,22.7,23.2,22.09,22.68,10078100
2024-10-28,20.84,22.77,20.73,22.73,13641200
2024-10-25,20.65,21.43,20.54,20.57,5989000
2024-10-24,20.63,20.84,20.48,20.63,2682300
2024-10-23,20.73,20.98,20.35,20.54,2945000
2024-10-22,20.62,20.94,20.43,20.93,3232300
2024-10-21,21.1,21.22,20.66,20.7,3956500
2024-10-18,21.41,21.61,20.98,21.22,5302200
2024-10-17,21.5,21.66,21.23,21.41,3015300
2024-10-16,21.13,21.75,21.03,21.66,4264600
2024-10-15,21.45,21.68,20.98,21.27,4851900
2024-10-14,20.75,21.67,20.46,21.33,6636600
2024-10-11,20.66,21.22,20.66,20.83,3931600
2024-10-10,20.47,21.05,20.38,20.91,4180800
2024-10-09,20.5,20.74,20.3,20.5,3914000
2024-10-08,20.9,21.27,20.53,20.71,4840500
2024-10-07,21.35,21.53,20.81,20.9,5988000
2024-10-04,21.48,21.97,21.29,21.4,5286200
2024-10-03,21.36,21.79,21.11,21.2,4665800
2024-10-02,21.86,22.3,21.41,21.49,5673100
2024-10-01,22.95,23.12,21.81,21.97,7189200
2024-09-30,22.3,23.64,22.17,22.93,10161700
2024-09-27,22.39,23.1,21.97,22.48,7416500
2024-09-26,22.4,22.64,21.87,22.29,5777500
2024-09-25,22.16,22.83,22.07,22.18,6139700
2024-09-24,22.61,22.72,21.54,22.63,12121400
2024-09-23,21.54,22.56,21.23,22.31,13969500
2024-09-20,19.63,22.03,19.48,21.85,61919200
2024-09-19,19.89,20.03,19.47,19.51,8902600
2024-09-18,20.05,20.26,19.42,19.65,10728200
2024-09-17,20.24,20.56,19.92,20.16,6307600
2024-09-16,20.45,20.52,19.92,20.09,5981200
2024-09-13,20.49,20.92,20.34,20.65,8053700
2024-09-12,20.47,20.71,19.99,20.4,9567500
2024-09-11,20.82,21.09,19.31,20.64,28921500
2024-09-10,24.77,24.8,23.13,23.45,19175500
2024-09-09,23.24,25.02,23.16,24.25,14064700
2024-09-06,22.4,24.48,21.8,23.92,23884000
2024-09-05,22.0,22.68,21.66,22.39,5101200
2024-09-04,22.85,23.71,22.11,22.12,6700900
2024-09-03,24.15,24.69,22.82,23.14,11350500
2024-08-30,21.82,23.48,21.73,23.42,15680700
2024-08-29,20.5,22.45,20.47,21.51,10428400
2024-08-28,20.71,21.07,19.88,19.9,5219500
2024-08-27,21.06,21.29,20.66,20.74,4118800
2024-08-26,22.25,22.39,21.3,21.36,4780500
2024-08-23,22.25,22.62,22.18,22.21,4056700
2024-08-22,22.5,22.76,22.09,22.12,3382500
2024-08-21,22.17,22.65,22.16,22.55,3163200
2024-08-20,22.5,22.52,21.96,22.28,3570300
2024-08-19,22.35,23.1,22.32,22.66,4543500
2024-08-16,22.37,22.69,22.24,22.4,3641800
2024-08-15,22.25,22.84,21.97,22.53,5361400
2024-08-14,22.34,22.73,21.79,21.99,3489400
2024-08-13,21.96,22.38,21.86,22.27,3913700
2024-08-12,21.98,22.27,21.45,21.88,4449100
2024-08-09,21.51,22.17,21.46,21.93,4828900
2024-08-08,21.01,21.88,20.81,21.75,5439700
2024-08-07,21.15,21.46,20.38,20.83,6101100
2024-08-06,21.02,21.58,20.26,21.28,6505300
2024-08-05,18.83,20.8,18.73,20.65,12205900
2024-08-02,20.95,21.61,20.43,21.07,9030000
2024-08-01,22.92,23.09,21.56,21.71,9334400
2024-07-31,22.86,23.45,22.61,22.67,8005800
2024-07-30,23.6,23.89,22.34,22.4,9272400
2024-07-29,24.23,24.38,23.54,23.6,7250200
2024-07-26,24.28,24.77,24.11,24.13,6833900
2024-07-25,23.59,24.59,23.36,23.95,8567700
2024-07-24,25.15,25.45,23.93,24.01,9549200
2024-07-23,25.22,25.68,24.89,25.5,7921700
2024-07-22,24.84,25.98,24.38,25.22,14090400
2024-07-19,25.55,26.39,24.85,24.97,12763300
2024-07-18,27.98,28.38,25.61,25.88,16969700
2024-07-17,28.4,29.79,27.24,27.98,23775000
2024-07-16,27.75,28.83,27.37,28.54,25594500
2024-07-15,25.98,27.2,25.65,27.0,17136400
2024-07-12,25.76,26.89,25.42,26.05,16238900
2024-07-11,25.44,26.02,25.02,25.57,13032700
2024-07-10,25.0,26.45,24.9,24.97,22325400
2024-07-09,24.6,25.18,24.0,24.6,9419800
2024-07-08,24.12,25.14,23.85,24.45,11815500
2024-07-05,24.18,25.08,23.82,24.18,11782100
2024-07-03,24.03,24.89,23.65,24.37,11829500
2024-07-02,23.24,24.32,23.1,23.98,13703500
2024-07-01,23.35,23.78,22.31,23.33,30689000
2024-06-28,25.02,26.17,24.31,24.69,20212000
2024-06-27,24.1,26.69,24.06,25.09,34867000
2024-06-26,24.6,25.38,24.04,24.2,17903000
2024-06-25,23.6,24.97,22.55,24.93,27625600
2024-06-24,23.26,24.83,23.24,23.65,22162900
2024-06-21,25.24,25.81,23.51,23.93,28004000
2024-06-20,24.25,25.93,23.65,25.59,36029300
2024-06-18,24.58,25.97,23.61,24.7,38079200
2024-06-17,28.55,29.18,23.79,25.22,90351900
2024-06-14,29.23,30.66,27.41,28.7,82874400
2024-06-13,26.56,29.58,25.56,29.12,107306600
2024-06-12,29.17,33.7,24.83,25.46,147986700
2024-06-11,24.4,30.92,22.79,30.49,146914700
2024-06-10,28.97,29.34,23.06,24.83,131572400
2024-06-07,37.69,48.0,26.12,28.22,279054400
2024-06-06,31.57,47.5,31.28,46.55,206685800
2024-06-05,26.3,31.84,26.11,31.57,73156400
2024-06-04,26.26,28.01,25.2,26.5,51662100
2024-06-03,40.19,40.5,26.4,28.0,165808300
2024-05-31,22.58,23.72,21.68,23.14,22174300
2024-05-30,21.02,22.7,20.1,22.61,24508800
2024-05-29,22.0,22.98,21.05,21.24,26921200
2024-05-28,23.1,26.66,21.15,23.78,105077600
2024-05-24,18.42,19.68,17.7,19.0,41886700
2024-05-23,21.4,21.4,18.26,18.32,30561100
2024-05-22,21.56,22.25,20.76,21.12,43521400
2024-05-21,22.24,22.85,20.04,22.12,49250100
2024-05-20,21.54,23.4,18.94,23.14,55261600
2024-05-17,21.86,22.41,19.7,22.21,96079600
2024-05-16,33.98,35.24,27.59,27.67,76177600
2024-05-15,40.31,42.35,31.0,39.55,131790100
2024-05-14,64.83,64.83,36.0,48.75,206979100
2024-05-13,26.34,38.2,24.77,30.45,187241700
2024-05-10,17.93,20.2,16.88,17.46,36831900
2024-05-09,15.9,18.51,15.35,18.01,25759300
2024-05-08,16.05,17.24,15.33,15.92,24775100
2024-05-07,15.85,17.29,14.93,16.31,24308600
2024-05-06,14.99,17.4,13.62,16.31,48018700
2024-05-03,12.42,17.45,12.31,16.47,36292400
2024-05-02,11.11,12.88,10.96,12.76,8654800
2024-05-01,11.03,11.32,10.7,10.91,2653200
2024-04-30,11.18,11.3,10.91,11.09,2866500
2024-04-29,11.84,11.96,11.18,11.29,3821500
2024-04-26,11.18,12.19,11.0,11.9,7685100
2024-04-25,10.7,11.21,10.48,11.21,4903800
2024-04-24,10.16,10.94,10.16,10.93,4829600
2024-04-23,10.05,10.28,10.01,10.16,2511800
2024-04-22,10.41,10.45,10.01,10.01,3261000
2024-04-19,10.2,10.5,10.2,10.42,2455100
2024-04-18,10.32,10.63,10.27,10.31,2175400
2024-04-17,10.44,10.59,10.3,10.3,2096700
2024-04-16,10.0,10.55,9.95,10.37,4162100
2024-04-15,10.81,10.84,10.06,10.06,5086300
2024-04-12,11.21,11.23,10.76,10.77,3196300
2024-04-11,10.91,11.39,10.8,11.29,3802100
2024-04-10,10.9,11.07,10.75,10.85,3546200
2024-04-09,10.85,11.18,10.73,11.01,3514400
2024-04-08,11.3,11.37,10.83,10.83,3659100
2024-04-05,11.3,11.5,10.97,11.25,4750800
2024-04-04,11.5,11.83,11.38,11.53,4347000
2024-04-03,11.22,11.5,10.9,11.38,4331500
2024-04-02,11.84,11.99,11.26,11.28,6327700
