datetime,open,high,low,close,volume
2025-02-04,6.925,7.11,6.71,6.97,7200
2025-02-03,6.46,6.98,6.46,6.97,29300
2025-01-31,6.94,7.11,6.826,6.92,3700
2025-01-30,7.0,7.18,6.776,6.94,15200
2025-01-29,6.83,7.1,6.68,7.05,22300
2025-01-28,6.66,6.825,6.65,6.82,4500
2025-01-27,6.65,6.88,6.5,6.8,25800
2025-01-24,6.87,6.88,6.66,6.84,18700
2025-01-23,6.62,6.88,6.6,6.88,17700
2025-01-22,6.53,6.8,6.53,6.66,28200
2025-01-21,6.81,6.9,6.65,6.66,15500
2025-01-17,6.95,6.95,6.7,6.79,11000
2025-01-16,7.05,7.185,6.85,7.03,30400
2025-01-15,6.91,7.04,6.75,6.9,23100
2025-01-14,7.06,7.06,6.85,7.0,11300
2025-01-13,7.05,7.05,6.94,7.05,8100
2025-01-10,7.15,7.329,6.93,7.1,48100
2025-01-08,6.93,7.18,6.93,7.15,21400
2025-01-07,7.25,7.276,6.95,7.06,24600
2025-01-06,7.27,7.27,6.91,7.12,30900
2025-01-03,7.21,7.554,6.94,7.19,70700
2025-01-02,7.77,7.77,6.99,7.08,108400
2024-12-31,7.43,7.659,7.38,7.43,34700
2024-12-30,7.3,7.574,7.3,7.43,42500
2024-12-27,7.24,7.598,7.24,7.45,44400
2024-12-26,7.38,7.473,7.1,7.13,32400
2024-12-24,7.44,7.6,7.1,7.44,43000
2024-12-23,6.48,7.86,6.48,7.3,153000
2024-12-20,6.3,7.0,6.27,6.64,110100
2024-12-19,6.19,6.912,5.65,6.25,177100
2024-12-18,5.15,5.263,4.87,4.87,60700
2024-12-17,4.95,5.15,4.78,5.12,59000
2024-12-16,5.4,5.4,5.0,5.08,33100
2024-12-13,5.28,5.4,5.27,5.4,11300
2024-12-12,5.18,5.39,5.0,5.36,66100
2024-12-11,4.5,5.18,4.5,5.18,54500
2024-12-10,4.42,4.729,4.37,4.52,147200
2024-12-09,4.65,4.74,4.4,4.55,46300
2024-12-06,4.5,4.68,4.4,4.67,34400
2024-12-05,4.46,4.662,4.35,4.62,24900
2024-12-04,4.6,4.81,4.35,4.67,66000
2024-12-03,4.65,4.75,4.36,4.6,184500
2024-12-02,4.92,5.08,4.5,4.69,135800
2024-11-29,5.05,5.09,4.71,4.92,16000
2024-11-27,5.39,5.62,4.7,5.12,95200
2024-11-26,5.85,5.99,5.11,5.5,121000
2024-11-25,5.684,6.148,5.5,5.89,113500
2024-11-22,5.62,5.95,5.46,5.76,19600
2024-11-21,5.43,5.733,5.16,5.6,9700
2024-11-20,6.22,6.22,5.1,5.35,651700
2024-11-19,5.05,6.23,5.04,6.11,417600
2024-11-18,5.2,5.625,4.95,5.04,227400
2024-11-15,5.1,5.41,4.994,5.16,49600
2024-11-14,5.57,5.6,5.1,5.11,23000
2024-11-13,5.36,6.47,5.27,5.57,131900
2024-11-12,5.28,5.388,5.05,5.36,17800
2024-11-11,5.45,5.479,5.293,5.31,12500
2024-11-08,5.338,5.5,5.19,5.48,23700
2024-11-07,5.07,5.5,5.04,5.34,67200
2024-11-06,5.215,5.42,5.13,5.13,8200
2024-11-05,5.089,5.245,5.0,5.12,12200
2024-11-04,5.17,5.299,5.0,5.1,7700
2024-11-01,5.43,5.43,5.04,5.26,8300
2024-10-31,5.89,5.89,5.3,5.43,13900
2024-10-30,5.99,5.99,5.6,5.62,15200
2024-10-29,5.94,5.99,5.62,5.99,37600
2024-10-28,5.0,5.98,4.52,5.97,77700
2024-10-25,5.67,5.72,5.14,5.16,28200
2024-10-24,4.69,5.75,4.67,5.75,201400
2024-10-23,4.67,4.74,4.54,4.74,15500
2024-10-22,4.67,4.76,4.619,4.685,14900
2024-10-21,4.51,4.795,4.51,4.72,32300
2024-10-18,4.44,4.62,4.44,4.62,23800
2024-10-17,4.35,4.42,4.31,4.4,24500
2024-10-16,4.37,4.4,4.31,4.4,6100
2024-10-15,4.46,4.465,4.28,4.37,20700
2024-10-14,4.44,4.51,4.3,4.35,17400
2024-10-11,4.37,4.483,4.32,4.48,18400
2024-10-10,4.4,4.42,4.286,4.3,11800
2024-10-09,4.19,4.5,4.13,4.36,36400
2024-10-08,4.192,4.239,4.16,4.21,3200
2024-10-07,4.13,4.24,4.13,4.185,21700
2024-10-04,4.06,4.19,4.05,4.13,28400
2024-10-03,4.1,4.18,4.02,4.11,8200
2024-10-02,4.11,4.224,4.1,4.11,4500
2024-10-01,4.23,4.23,4.12,4.12,2700
2024-09-30,4.14,4.22,4.122,4.19,6600
2024-09-27,4.18,4.26,4.17,4.22,5200
2024-09-26,4.24,4.24,4.12,4.22,4200
2024-09-25,4.25,4.35,4.09,4.17,44600
2024-09-24,4.2,4.37,4.17,4.37,12600
2024-09-23,4.18,4.32,4.16,4.22,42500
2024-09-20,4.34,4.43,4.16,4.16,49800
2024-09-19,4.45,4.45,4.28,4.4,5200
2024-09-18,4.34,4.435,4.27,4.27,6100
2024-09-17,4.4,4.433,4.31,4.34,4400
2024-09-16,4.54,4.55,4.39,4.39,7000
2024-09-13,4.55,4.6,4.497,4.53,10500
2024-09-12,4.55,4.55,4.44,4.47,11400
2024-09-11,4.464,4.6,4.464,4.5,4600
2024-09-10,4.58,4.6,4.41,4.45,15000
2024-09-09,4.4,4.58,4.32,4.58,20900
2024-09-06,4.4,4.487,4.25,4.36,31200
2024-09-05,4.355,4.54,4.32,4.49,29000
2024-09-04,4.28,4.4,4.225,4.4,18200
2024-09-03,4.25,4.289,4.15,4.18,14700
2024-08-30,4.22,4.27,4.15,4.15,7600
2024-08-29,4.349,4.349,4.21,4.27,21200
2024-08-28,4.22,4.44,4.22,4.335,76000
2024-08-27,4.51,4.51,4.25,4.27,9300
2024-08-26,4.71,4.74,4.5,4.57,21700
2024-08-23,4.65,4.73,4.63,4.7,8400
2024-08-22,4.59,4.75,4.545,4.695,49600
2024-08-21,4.39,4.58,4.39,4.58,65400
2024-08-20,4.31,4.435,4.3,4.42,13200
2024-08-19,4.47,4.47,4.31,4.415,13100
2024-08-16,4.3,4.47,4.26,4.47,50700
2024-08-15,4.325,4.48,4.18,4.28,76700
2024-08-14,4.19,4.37,4.19,4.3,26500
2024-08-13,4.32,4.32,4.05,4.2,20000
2024-08-12,4.39,4.39,4.19,4.2,19800
2024-08-09,4.451,4.51,4.35,4.41,19000
2024-08-08,4.31,4.48,4.275,4.48,33100
2024-08-07,4.28,4.36,4.16,4.32,45100
2024-08-06,4.25,4.399,4.12,4.28,38000
2024-08-05,3.96,4.25,3.8,4.2,33000
2024-08-02,4.46,4.64,4.088,4.28,122000
2024-08-01,4.57,4.68,4.22,4.53,168200
2024-07-31,3.92,4.75,3.86,4.55,1415900
2024-07-30,3.315,3.42,3.252,3.26,117500
2024-07-29,3.18,3.38,3.18,3.243,48500
2024-07-26,3.3,3.308,3.07,3.17,17300
2024-07-25,3.32,3.32,3.151,3.29,2100
2024-07-24,3.15,3.33,3.15,3.25,29100
2024-07-23,2.99,3.18,2.99,3.155,54600
2024-07-22,3.09,3.099,2.984,3.05,51600
2024-07-19,3.177,3.177,2.991,3.04,42600
2024-07-18,3.25,3.25,3.17,3.17,44300
2024-07-17,3.34,3.348,3.25,3.26,10800
2024-07-16,3.34,3.34,3.27,3.3,6400
2024-07-15,3.33,3.4,3.273,3.359,5800
2024-07-12,3.27,3.34,3.22,3.32,16800
2024-07-11,3.227,3.3,3.227,3.24,26700
2024-07-10,3.39,3.403,3.191,3.22,19200
2024-07-09,3.341,3.385,3.341,3.38,5100
2024-07-08,3.42,3.456,3.34,3.34,29900
2024-07-05,3.48,3.65,3.44,3.46,17500
2024-07-03,3.51,3.53,3.48,3.48,17200
2024-07-02,3.6,3.6,3.55,3.55,6600
2024-07-01,3.61,3.688,3.56,3.56,24700
2024-06-28,3.6,3.619,3.58,3.59,18900
2024-06-27,3.65,3.67,3.615,3.615,13400
2024-06-26,3.69,3.73,3.67,3.68,24200
2024-06-25,3.709,3.73,3.67,3.69,8600
2024-06-24,3.66,3.73,3.65,3.65,13000
2024-06-21,3.765,3.8,3.65,3.7,11700
2024-06-20,3.69,3.77,3.67,3.75,17900
2024-06-18,3.75,3.75,3.68,3.72,17300
2024-06-17,3.66,3.8,3.66,3.76,46500
2024-06-14,3.77,3.807,3.66,3.667,17400
2024-06-13,3.85,3.85,3.75,3.85,17000
2024-06-12,3.74,3.8,3.58,3.8,32100
2024-06-11,3.7,3.7,3.6,3.63,16300
2024-06-10,3.8,3.8,3.61,3.68,32900
2024-06-07,3.86,3.91,3.81,3.81,14900
2024-06-06,3.93,3.97,3.93,3.95,12500
2024-06-05,3.939,3.95,3.88,3.93,11300
2024-06-04,3.94,3.97,3.889,3.95,19700
2024-06-03,3.86,3.95,3.86,3.95,12100
2024-05-31,3.86,3.92,3.854,3.88,18100
2024-05-30,3.854,3.9,3.854,3.87,4900
2024-05-29,3.91,3.92,3.84,3.85,12900
2024-05-28,3.93,3.93,3.87,3.883,7600
2024-05-24,3.87,3.91,3.85,3.9,13800
2024-05-23,3.92,3.92,3.85,3.89,9600
2024-05-22,3.97,3.99,3.89,3.93,28900
2024-05-21,3.79,3.95,3.78,3.89,36300
2024-05-20,3.79,3.98,3.77,3.8,225500
2024-05-17,3.7,3.82,3.68,3.76,93600
2024-05-16,3.45,3.705,3.44,3.675,96900
2024-05-15,3.63,3.7,3.48,3.49,122600
2024-05-14,3.65,3.71,3.65,3.67,29600
2024-05-13,3.71,3.79,3.66,3.67,14600
2024-05-10,3.66,3.75,3.66,3.71,17900
2024-05-09,3.681,3.72,3.66,3.66,25200
2024-05-08,3.64,3.7,3.64,3.685,9300
2024-05-07,3.73,3.73,3.68,3.68,14600
2024-05-06,3.75,3.75,3.662,3.68,10800
2024-05-03,3.7,3.74,3.638,3.66,16600
2024-05-02,3.67,3.733,3.67,3.7,5600
2024-05-01,3.78,3.78,3.64,3.7,7000
2024-04-30,3.58,3.8,3.58,3.63,22900
2024-04-29,3.6,3.64,3.52,3.57,49500
2024-04-26,3.66,3.679,3.55,3.55,21200
2024-04-25,3.62,3.75,3.62,3.66,45200
2024-04-24,3.72,3.76,3.63,3.63,23600
2024-04-23,3.72,3.78,3.7,3.72,74600
2024-04-22,3.82,3.82,3.73,3.76,7400
2024-04-19,3.755,3.76,3.72,3.73,14700
2024-04-18,3.745,3.79,3.73,3.79,6700
2024-04-17,3.76,3.83,3.75,3.77,8800
2024-04-16,3.78,3.81,3.76,3.76,6600
2024-04-15,3.76,3.83,3.73,3.83,16800
2024-04-12,3.839,3.839,3.72,3.72,19900
2024-04-11,3.83,3.85,3.72,3.82,44300
2024-04-10,3.81,3.86,3.78,3.82,15500
2024-04-09,3.8,3.85,3.781,3.82,9700
2024-04-08,3.78,3.86,3.78,3.78,22600
2024-04-05,3.81,3.85,3.8,3.815,4000
2024-04-04,3.93,3.93,3.79,3.81,23800
2024-04-03,3.86,3.87,3.8,3.82,7300
2024-04-02,3.86,3.88,3.83,3.84,8500
